model,accuracy,precision,recall,f1,roc_auc,cv_auc_mean,cv_auc_std,classifier__C,classifier__penalty,classifier__solver,classifier__max_depth,classifier__min_samples_leaf,classifier__min_samples_split,classifier__n_estimators
LogisticRegression,0.6866666666666666,0.3731513083048919,0.6200378071833649,0.4659090909090909,0.7218625948336919,0.7156331844847716,0.021973918579656415,0.01,l2,liblinear,,,,
RandomForestClassifier,0.7854166666666667,0.5127272727272727,0.5330812854442344,0.5227062094531975,0.7723809533431875,0.7541839805378984,0.023381775851671383,,,,10.0,4.0,10.0,100.0
